company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,ABI,primary_SIC_code,SIC6_description,primary_NAICS_code,NAICS8_description,parent_company_ABI,classification,unique_id,parent_company_unique_id
BROOGE ENERGY,BROG,Brooge Energy Ltd,,,,,,,,,,,,f,c6d892b7-6971-4ee8-8899-363cc3a34b17,
BUMI ARMADA,5210,Bumi Armada Bhd,,,,,,,,,,,,f,cd3017b5-42c1-4bb3-9cdb-4f32667bff28,
BW ENERGY,BWE,BW Energy Ltd,,,,,,,,,,,,f,7b091962-ed94-47dd-b685-10985b5b0f9c,
BW OFFSHORE,BWO,BW Offshore Ltd,,,,,,,,,,,,f,0fdce78f-c4ec-4a4d-8226-f99d180add3a,
BYRON ENERGY,BYE,Byron Energy Ltd,,,,,,,,,,,,f,07b27cf1-d743-4b48-b91f-7791ecf8ac56,
CACTUS,WHD,Cactus Inc,,,,,,,,,,,,f,c89b78d2-1927-4b27-95bf-8e12f0b873ff,
CALFRAC WELL SERVS,CFW,Calfrac Well Services Ltd,,,,,,,,,,,,f,d707c491-24c6-4011-ba9b-9a07402a6218,
CALIFORNIA RESOURCES,CRC,California Resources Corp,,,,,,,,,,,,f,8f76f62f-fb1a-4bbc-940a-3431c9b5858a,
CALIMA ENERGY,CE1,Calima Energy Ltd,,,,,,,,,,,,f,478b06e0-7920-44a8-a108-48536fb896c0,
CALLON PETROLEUM,CPE,Callon Petroleum Co,,,,,,,,,,,,f,34bcc5c4-7162-4dfb-8e90-65dda6d017b6,
CALUMET SPECIALTY PRODS,CLMT,Calumet Specialty Products Partners LP,,,,,,,,,,,,f,eb331a1d-e14c-4c2b-87dd-2cc37858f68f,
CAMBER ENERGY,CEI,Camber Energy Inc,,,,,,,,,,,,f,680d459c-036d-4be9-9127-c1079941af60,
CANACOL ENERGY,CNE,Canacol Energy Ltd,,,,,,,,,,,,f,d92e9cd8-d7cc-4a87-aeb2-97032fd3da9a,
CANADIAN NATURAL RES,CNQ,Canadian Natural Resources Ltd,,,,,,,,,,,,f,ea7471f5-44c8-48de-8d88-4c8b60d7451e,
CAPRICORN ENERGY,CNE,Capricorn Energy PLC,,,,,,,,,,,,f,a300de68-6847-4e16-ae99-c9dcc96d8636,
CARDINAL ENERGY,CJ,Cardinal Energy Ltd,,,,,,,,,,,,f,55a66efc-4459-4f56-985b-87d58d912c1d,
CARLYLE GROUP,CG,The Carlyle Group Inc,,,,,,,,,,,,f,2f949162-f9ee-4294-b224-acd5015a8f16,
CARNARVON ENERGY,CVN,Carnarvon Energy Ltd,,,,,,,,,,,,f,e6fb33d9-a5fb-49f3-9643-2cd91f845177,
CASTROL INDIA,500870,Castrol India Ltd,,,,,,,,,,,,f,d34b3064-5289-45c8-9e6c-5138890a3634,
CATHEDRAL ENERGY SERVICES,CET,Cathedral Energy Services Ltd,,,,,,,,,,,,f,6207e8fc-3996-44df-8dee-baaaeb7284cb,
