Committee name,Registration number,Party,Office sought,District,Registration date,Termination date,Incumbent,Candidate,DistrictKey,OfficeKey
"Edelson, Heather M House Committee",17902,DFL,House,50A,2015-11-23 11:11:00.000,,1,"Edelson, Heather M",50A,House
"Bartusek, Mark John Senate Committee",17895,RPM,Senate,20,2015-11-09 13:30:00.000,,0,"Bartusek, Mark John",20,Senate
"Koran, Mark Senate Committee",17893,RPM,Senate,28,2015-11-05 15:44:00.000,,1,"Koran, Mark",28,Senate
"Gillespie, Alberder House Committee",17891,DFL,House,53B,2015-11-03 10:27:00.000,,0,"Gillespie, Alberder",53B,House
"Bliss, Matt House Committee",17881,RPM,House,2B,2015-09-22 09:28:00.000,,1,"Bliss, Matt",2B,House
"Mathews, Andrew Senate Committee",17876,RPM,Senate,27,2015-09-08 10:10:00.000,,1,"Mathews, Andrew",27,Senate
"Ecklund, Robert House Committee",17871,DFL,House,3A,2015-08-21 08:56:00.000,,0,"Ecklund, Robert",3A,House
"Goggin, Michael P Senate Committee",17869,RPM,Senate,21,2015-08-12 12:32:00.000,,0,"Goggin, Michael P",21,Senate
"Abeler, Jim Senate Committee",17868,RPM,Senate,35,2015-08-11 10:13:00.000,,1,"Abeler, Jim",35,Senate
"Wolgamott, Daniel (Dan) Senate Committee",17860,DFL,Senate,14,2015-06-01 14:02:00.000,,0,"Wolgamott, Daniel (Dan)",14,Senate
"Petricka, Mark (Danny) Senate Committee",17854,RPM,Senate,20,2015-05-01 11:15:00.000,,0,"Petricka, Mark (Danny)",20,Senate
"Sterner, Phillip M Senate Committee",17849,DFL,Senate,56,2014-12-16 08:52:00.000,,0,"Sterner, Phillip M",56,Senate
"Slyter, Diana House Committee",17823,DFL,House,22A,2014-07-01 13:50:00.000,,0,"Slyter, Diana",22A,House
"Brown, Andrew House Committee",17820,RPM,House,64A,2014-06-30 15:53:00.000,,0,"Brown, Andrew",64A,House
"Lofgren, Thomas House Committee",17805,DFL,House,20A,2014-06-17 10:24:00.000,,0,"Lofgren, Thomas",20A,House
"Loonan, Robert (Bob) J House Committee",17806,RPM,House,54A,2014-06-13 11:03:00.000,,0,"Loonan, Robert (Bob) J",54A,House
"Heintzeman, Joshua House Committee",17782,RPM,House,6B,2014-06-03 14:08:00.000,,1,"Heintzeman, Joshua",6B,House
"Nicollet, Hannah P Gov Committee",17771,IPMN,Governor,,2014-05-23 15:18:00.000,,0,"Nicollet, Hannah P",,GC
"Wetzker, Alma J House Committee",17758,RPM,House,45B,2014-05-09 08:38:00.000,,0,"Wetzker, Alma J",45B,House
"Backer, Jeff W Jr House Committee",17735,RPM,House,9A,2014-03-28 08:25:00.000,,1,"Backer, Jeff W, Jr",9A,House
"Vagts, Marla House Committee",17728,DFL,House,58B,2014-03-18 11:49:00.000,,0,"Vagts, Marla",58B,House
"Howe, John S Sec of State Committee",17726,RPM,Secretary of State,,2014-03-13 16:14:00.000,,0,"Howe, John S",,SS
"Koznick, Jon House Committee",17720,RPM,House,57A,2014-03-06 08:55:00.000,,1,"Koznick, Jon",57A,House
"Pike, Camden J House Committee",17718,RPM,House,41B,2014-03-05 08:47:00.000,,0,"Pike, Camden J",41B,House
"Daniels, Brian T House Committee",17717,RPM,House,19A,2014-03-04 15:56:00.000,,1,"Daniels, Brian T",19A,House
"Christensen, Drew (Andrew) House Committee",17716,RPM,House,56A,2014-03-04 15:46:00.000,,0,"Christensen, Drew (Andrew)",56A,House
"Nash, Jim House Committee",17709,RPM,House,48A,2014-02-10 11:41:00.000,,1,"Nash, Jim",48A,House
