company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,primary_SIC_code,SIC6_description,SIC_code,primary_NAICS_code,NAICS8_description,parent_company_name,parent_company_ABI,classification,fossil_fuel_primary,clean_energy_primary,fossil_fuel_secondary,clean_energy_secondary,unique_id
BP Castrol,5015,ビーピー・カストロール株式会社,,,,,,,,,,,,,f,,,,,b079d25f-6667-4466-bf44-825347d299b3
BP Prudhoe Bay,BPT,BP Prudhoe Bay Royalty Trust,,,,,,,,,,,,,f,,,,,ae2b55a2-8b36-47f4-bfa6-5b6e3afa912b
Bristow Group,VTOL,Bristow Group Inc,,,,,,,,,,,,,f,,,,,bac46cb9-b9d1-4867-8557-5e6e0236e16f
Brooge Energy,BROG,Brooge Energy Ltd,,,,,,,,,,,,,f,,,,,ad0c3465-77dd-4580-9496-39f8615312c7
Bumi Armada,5210,Bumi Armada Bhd,,,,,,,,,,,,,f,,,,,39763e77-f191-4247-8fbc-ab6534d89847
BW Energy,BWE,BW Energy Ltd,,,,,,,,,,,,,f,,,,,b0c762f9-9e13-4795-9344-8ff4df92b5e5
BW Offshore,BWO,BW Offshore Ltd,,,,,,,,,,,,,f,,,,,abece632-ed63-4f93-b622-4c27673231be
Byron Energy,BYE,Byron Energy Ltd,,,,,,,,,,,,,f,,,,,b425f98d-280f-46fb-957e-003ca6fc8d67
Cactus,WHD,Cactus Inc,,,,,,,,,,,,,f,,,,,0ebc0da1-23c2-4fc5-8917-b2278f195d12
Calfrac Well Servs,CFW,Calfrac Well Services Ltd,,,,,,,,,,,,,f,,,,,4f00be34-7c47-4760-ab74-6defe7999fe2
California Resources,CRC,California Resources Corp,,,,,,,,,,,,,f,,,,,95dff84c-5d38-42f7-aaf7-f52fb54e9f99
Calima Energy,CE1,Calima Energy Ltd,,,,,,,,,,,,,f,,,,,eb1309a7-5303-4862-9fa0-3fcb0b61691d
Callon Petroleum,CPE,Callon Petroleum Co,,,,,,,,,,,,,f,,,,,b6e3ecde-c661-47c4-a062-61433e9aa629
Calumet Specialty Prods,CLMT,Calumet Specialty Products Partners LP,,,,,,,,,,,,,f,,,,,fd7459d3-d820-4215-8864-fcec132a6cc5
Camber Energy,CEI,Camber Energy Inc,,,,,,,,,,,,,f,,,,,95de9778-d820-433e-96c6-88bc780636a4
Canacol Energy,CNE,Canacol Energy Ltd,,,,,,,,,,,,,f,,,,,59ee0932-eecb-4cbc-a0ca-8424f84cb150
Canadian Natural Res,CNQ,Canadian Natural Resources Ltd,,,,,,,,,,,,,f,,,,,739545fa-0e7d-4723-a57b-f989a62992cd
Capricorn Energy,CNE,Capricorn Energy PLC,,,,,,,,,,,,,f,,,,,188c0095-4ead-42d9-b76a-7dfa1589ef82
Cardinal Energy,CJ,Cardinal Energy Ltd,,,,,,,,,,,,,f,,,,,e93085d3-ef62-4bb0-94ca-15cb773a6ee4
Carlyle Group,CG,The Carlyle Group Inc,,,,,,,,,,,,,f,,,,,6d458a0d-4982-4d28-aa38-af73a57ad78f
Carnarvon Energy,CVN,Carnarvon Energy Ltd,,,,,,,,,,,,,f,,,,,34a3bcf2-eb0a-4236-805c-46b8995e071a
Castrol India,500870,Castrol India Ltd,,,,,,,,,,,,,f,,,,,014e051b-559e-4751-8cd5-fe5afa0314f3
Cathedral Energy Services,CET,Cathedral Energy Services Ltd,,,,,,,,,,,,,f,,,,,c3d8c43a-167e-4c62-a3d9-de17b308d622
CBL International,BANL,CBL International ltd,,,,,,,,,,,,,f,,,,,bd05e869-4647-4068-aeab-4ccaad4f8d40
Cenovus Energy,CVE,Cenovus Energy Inc,,,,,,,,,,,,,f,,,,,87491f34-c250-4d96-ab53-305a37c76238
CenterPoint Energy,CNP,CenterPoint Energy Inc,,,,,,,,,,,,,f,,,,,c6999467-6540-4709-8124-d11928185edd
CES Energy Solutions,CEU,CES Energy Solutions Corp,,,,,,,,,,,,,f,,,,,68c2439d-c6c1-46ac-aae2-53b40ee0bef6
CEZ,CEZ,CEZ a.s,,,,,,,,,,,,,f,,,,,da8d6724-c0a0-4428-8495-06721fbb7065
CGG,CGG,CGG,,,,,,,,,,,,,f,,,,,5c815bb9-ac43-490d-8ef2-ae58f45f1f40
CGN New Energy Hldgs Co,1811,中國廣核新能源控股有限公司,,,,,,,,,,,,,f,,,,,2c2b0ea6-5987-479e-9d79-134102f42315
ChampionX,CHX,ChampionX Corp,,,,,,,,,,,,,f,,,,,c04d179b-f599-4298-8afb-34c1f15005b5
Channel Infrastructure NZ,CHI,Channel Infrastructure NZ Ltd,,,,,,,,,,,,,f,,,,,28c5404c-5f4b-4b66-af50-707d144424b6
Cheniere Energy,LNG,Cheniere Energy Inc,,,,,,,,,,,,,f,,,,,78282928-d63b-4c59-a007-933cef37b6da
