Company,Symbol,Legal name
Murphy Oil,MUR,Murphy Oil Corp
Mytilineos,MYTIL,ΜΥΤΙΛΗΝΑΙΟΣ Α.Ε. - ΟΜΙΛΟΣ ΕΠΙΧΕΙΡΗΣΕΩΝ
Nabors Industries,NBR,Nabors Industries Ltd
Nan Ya Plastics,1303,南亞塑膠工業股份有限公司
Nanjing Develop Advanced,688377,南京迪威尔高端制造股份有限公司
Nanjing Tanker,601975,中国长江航运集团南京油运股份有限公司
Naphtha Israel Petroleum,NFTA,נפטא חברה ישראלית לנפט בע''מ
National Energy Services,NESR,National Energy Services Reunited Corp
National Fuel Gas,NFG,National Fuel Gas Co
National Gas,2080,شركة الغاز والتصنيع الأهلية
National Grid,NG.,National Grid PLC
Natural Gas Services Gr,NGS,Natural Gas Services Group Inc
NATURELGAZ SANAYI VE,NTGAZ,NATURELGAZ SANAYI VE TICARET AS
Navigator Holdings,NVGS,Navigator Holdings Ltd
NCS Multistage Holdings,NCSM,NCS Multistage Holdings Inc
Neste,NESTE,Neste Oyj
New Fortress Energy,NFE,New Fortress Energy Inc
New Stratus Energy,NSE,New Stratus Energy Inc
NewMed Energy,NWMD,NewMed Energy LP
NewOcean Energy Holdings,NE6,新海能源集团有限公司
Newpark Resources,NR,Newpark Resources Inc
NextDecade,NEXT,NextDecade Corp
NextEra Energy,NEE,NextEra Energy Inc
NG Energy Intl,GASX,NG Energy International Corp
NGL Energy Partners,NGL,NGL Energy Partners LP
Nine Dragons Paper,2689,玖龙纸业（控股）有限公司
Nine Energy Service,NINE,Nine Energy Service Inc
NIPPON CONCEPT,9386,日本コンセプト株式会社
NiSource,NI,NiSource Inc
Noble Corp,NE,Noble Corp PLC
NorAm Drilling,NORAM,Noram Drilling Company AS
North American,NOA,North American Construction Group Ltd
Northern Ocean,NOL,Northern Ocean Ltd
Northern Oil & Gas,NOG,Northern Oil & Gas Inc
Nostrum Oil & Gas,NOG,Nostrum Oil & Gas PLC
NOV,NOV,NOV Inc
Novagold Resources,NG,Novagold Resources Inc
NOVATEK,NVTK,пао НОВАТЭК
NuStar Energy,NS,NuStar Energy LP
NuVista Energy,NVA,NuVista Energy Ltd
NWF Group,NWF,NWF Group PLC
Obsidian Energy,OBE,Obsidian Energy Ltd
Occidental Petroleum,OXY,Occidental Petroleum Corp
Oceaneering International,OII,Oceaneering International Inc
Odfjell Drilling,ODL,Odfjell Drilling Ltd
Odfjell Technology,OTL,Odfjell Technology Ltd
Offshore Oil Eng Co,600583,海洋石油工程股份有限公司
OGK-2,OGKB,ОАО ОГК-2
Oil & Gas Development Co,OGDC,Oil & Gas Development Co Ltd
Oil India,533106,Oil India Ltd
Oil Refineries,ORL,בתי זקוק לנפט בע''מ
Oil States International,OIS,Oil States International Inc
Okea,OKEA,Okea ASA
OMV,OMV,OMV AG
OMV Petrom,SNP,OMV Petrom SA
ONEOK,OKE,ONEOK Inc
ONGC,500312,Oil & Natural Gas Corp Ltd
Opc Energy,OPCE,או.פי.סי אנרגיה בע''מ
OQ Gas Network Company,OQGN,OQ Gas Network Company S A O G
Organizacion Terpel,TERPEL,Organizacion Terpel SA
Oriental Energy Co,2221,东华能源股份有限公司
Origin Energy,ORG,Origin Energy Ltd
Orlen,PKN,Orlen SA
Osaka Gas,9532,大阪瓦斯株式会社
Overseas Shipholding Gr,OSG,Overseas Shipholding Group Inc
Ovintiv,OVV,Ovintiv Inc
Padma Oil Co,PADMAOIL,Padma Oil Co Ltd
Pakistan Oilfields,POL,Pakistan Oilfields Ltd
Pakistan Petroleum,PPL,Pakistan Petroleum Ltd
Pakistan Refinery,PRL,Pakistan Refinery Ltd
Pakistan State Oil Co,PSO,Pakistan State Oil Co Ltd
Pampa Energia,PAMP,Pampa Energia SA
Panama Petrochem,524820,Panama Petrochem Ltd
Panoro Energy,PEN,Panoro Energy ASA
Pantheon Resources,PANR,Pantheon Resources PLC
PAO Sovcomflot,FLOT,PAO Sovcomflot
