original_uuids,mapped_uuid
78d82284-f4b3-4f3d-b10c-31a3acdc1501,78d82284-f4b3-4f3d-b10c-31a3acdc1501
7a83c2f2-fda7-4465-9d28-c408e5b6e723,7a83c2f2-fda7-4465-9d28-c408e5b6e723
386fb8cc-fafd-4087-a3fc-1b8004951e1d,386fb8cc-fafd-4087-a3fc-1b8004951e1d
9a1c77b5-a3d8-4d13-aaa0-49c88529ca59,9a1c77b5-a3d8-4d13-aaa0-49c88529ca59
413c8a6d-9bca-42e2-a086-75be0dd39917,413c8a6d-9bca-42e2-a086-75be0dd39917
23abfc8d-0e04-4123-aaac-921bfef333a0,23abfc8d-0e04-4123-aaac-921bfef333a0
59d4b346-0d6e-4385-8c19-94365555b59d,59d4b346-0d6e-4385-8c19-94365555b59d
87a07e0e-e3d1-4152-9f6b-86187ff9dfdb,87a07e0e-e3d1-4152-9f6b-86187ff9dfdb
f8710c8a-e281-46ef-b64c-25a41bdad5f9,f8710c8a-e281-46ef-b64c-25a41bdad5f9
252daa37-e3e1-4627-99af-4d52173e460d,252daa37-e3e1-4627-99af-4d52173e460d
7d781413-d54a-48e0-9f5a-92b6420b4870,7d781413-d54a-48e0-9f5a-92b6420b4870
fcf6fe31-b70f-460d-8ead-edc224d173f7,fcf6fe31-b70f-460d-8ead-edc224d173f7
fa5925f9-b2cc-49f9-8459-a29da1ce983d,fa5925f9-b2cc-49f9-8459-a29da1ce983d
a84d1754-a89f-4171-9319-1d1efd824bdf,a84d1754-a89f-4171-9319-1d1efd824bdf
55b520b0-1088-4c72-bebe-a15f33b8ecd7,55b520b0-1088-4c72-bebe-a15f33b8ecd7
f353a5c4-5434-4c18-b003-ffbaae1e1a5d,f353a5c4-5434-4c18-b003-ffbaae1e1a5d
00bf1f45-218e-4b0d-93f2-714c24968f86,00bf1f45-218e-4b0d-93f2-714c24968f86
4dd8a26c-8955-4072-9f8d-ef9b6b531dd5,4dd8a26c-8955-4072-9f8d-ef9b6b531dd5
c30a5bc9-9698-4121-9d56-2ae56f73be6b,c30a5bc9-9698-4121-9d56-2ae56f73be6b
30043c59-5c5b-46ed-b970-3de280fc529d,30043c59-5c5b-46ed-b970-3de280fc529d
cd21bbff-99bb-422c-8d2d-a7d98bab1ad0,cd21bbff-99bb-422c-8d2d-a7d98bab1ad0
05c8ee13-26f0-45b3-8663-1f4dd39bde1d,05c8ee13-26f0-45b3-8663-1f4dd39bde1d
a9f53eef-fdaa-446a-a7c2-31c55522d06a,a9f53eef-fdaa-446a-a7c2-31c55522d06a
